id,timestamp,value,,sensors,min,max,count,sum,average
sensor-D,1773218246226,6.736,,sensor-A,1773218212913,1773218262743,420,21200.941,50.47843095
sensor-D,1773218246226,8.8,,sensor-B,1773218212946,1773218262824,423,21000.314,49.64613239
sensor-D,1773218255428,61.225,,sensor-C,1773218213338,1773218262811,423,20564.318,48.61540898
sensor-D,1773218255428,-35.202,,sensor-D,1773218212856,1773218262838,462,23532.493,50.93613203
sensor-D,1773218255428,-27.961,,,,,,,
sensor-B,1773218255196,88.532,,,,,,,
sensor-B,1773218255196,-16.812,,,,,,,
sensor-B,1773218255196,-21.761,,,,,,,
sensor-B,1773218255196,-37.354,,,,,,,
sensor-C,1773218261189,-6.14,,,,,,,
sensor-C,1773218261189,37.155,,,,,,,
sensor-C,1773218261189,-8.536,,,,,,,
sensor-D,1773218223550,-28.273,,,,,,,
sensor-D,1773218235743,55.141,,,,,,,
sensor-D,1773218235743,68.202,,,,,,,
sensor-D,1773218235743,53.088,,,,,,,
sensor-D,1773218259133,44.791,,,,,,,
sensor-D,1773218259133,44.78,,,,,,,
sensor-D,1773218259133,-9.394,,,,,,,
sensor-D,1773218259133,37.579,,,,,,,
sensor-B,1773218241109,-27.792,,,,,,,
sensor-D,1773218235998,35.107,,,,,,,
sensor-D,1773218235998,43.083,,,,,,,
sensor-D,1773218235998,40.419,,,,,,,
sensor-D,1773218235998,-48.711,,,,,,,
sensor-B,1773218244243,51.189,,,,,,,
sensor-B,1773218244243,93.517,,,,,,,
sensor-D,1773218253873,-4.749,,,,,,,
sensor-D,1773218253873,-36.075,,,,,,,
sensor-A,1773218253674,16.518,,,,,,,
sensor-A,1773218253674,14.876,,,,,,,
sensor-A,1773218253674,38.076,,,,,,,
sensor-A,1773218253674,41.844,,,,,,,
sensor-D,1773218246386,67.259,,,,,,,
sensor-D,1773218246386,-0.484,,,,,,,
sensor-D,1773218235849,-20.15,,,,,,,
sensor-A,1773218214278,35.16,,,,,,,
sensor-A,1773218214278,44.718,,,,,,,
sensor-B,1773218226511,-5.061,,,,,,,
sensor-A,1773218243967,63.202,,,,,,,
sensor-A,1773218243967,82.632,,,,,,,
sensor-C,1773218228923,48.974,,,,,,,
sensor-C,1773218228923,15.964,,,,,,,
sensor-A,1773218221834,-31.383,,,,,,,
sensor-A,1773218221834,96.105,,,,,,,
sensor-C,1773218252016,-21.623,,,,,,,
sensor-C,1773218246506,6.981,,,,,,,
sensor-C,1773218246506,95.863,,,,,,,
sensor-C,1773218219766,92.222,,,,,,,
sensor-C,1773218219766,29.942,,,,,,,
sensor-A,1773218227988,9.061,,,,,,,
sensor-A,1773218227988,21.499,,,,,,,
sensor-B,1773218229666,80.723,,,,,,,
sensor-B,1773218229666,41.609,,,,,,,
sensor-B,1773218229666,92.228,,,,,,,
sensor-B,1773218229666,5.317,,,,,,,
sensor-C,1773218229731,9.519,,,,,,,
sensor-C,1773218229731,47.418,,,,,,,
sensor-C,1773218245050,-23.267,,,,,,,
sensor-A,1773218246445,91.37,,,,,,,
sensor-A,1773218246445,-34.266,,,,,,,
sensor-D,1773218246419,-3.493,,,,,,,
sensor-D,1773218246419,42.93,,,,,,,
sensor-D,1773218224875,35.073,,,,,,,
sensor-D,1773218224875,14.192,,,,,,,
sensor-C,1773218249984,16.072,,,,,,,
sensor-B,1773218230957,-30.641,,,,,,,
sensor-B,1773218221566,98.616,,,,,,,
sensor-B,1773218230700,-36.333,,,,,,,
sensor-B,1773218230700,-24.503,,,,,,,
sensor-B,1773218230700,81.372,,,,,,,
sensor-D,1773218260237,89.137,,,,,,,
sensor-D,1773218260237,-37.293,,,,,,,
sensor-D,1773218260237,-13.743,,,,,,,
sensor-B,1773218229618,32.255,,,,,,,
sensor-B,1773218229618,40.422,,,,,,,
sensor-B,1773218229618,97.656,,,,,,,
sensor-B,1773218229618,53.99,,,,,,,
sensor-A,1773218239269,-34.684,,,,,,,
sensor-A,1773218239269,-37.892,,,,,,,
sensor-A,1773218239269,62.626,,,,,,,
sensor-A,1773218216191,13.271,,,,,,,
sensor-C,1773218261027,1.939,,,,,,,
sensor-C,1773218261027,21.472,,,,,,,
sensor-C,1773218261027,11.163,,,,,,,
sensor-D,1773218215149,-17.773,,,,,,,
sensor-A,1773218254358,17.667,,,,,,,
sensor-C,1773218239605,30.449,,,,,,,
sensor-C,1773218239605,54.144,,,,,,,
sensor-C,1773218239605,69.739,,,,,,,
sensor-C,1773218239605,-22.65,,,,,,,
sensor-C,1773218238194,63.434,,,,,,,
sensor-C,1773218238194,-12.279,,,,,,,
sensor-D,1773218254543,16.933,,,,,,,
sensor-D,1773218254543,1.993,,,,,,,
sensor-D,1773218254543,-35.961,,,,,,,
sensor-D,1773218254543,70.525,,,,,,,
sensor-D,1773218236600,-45.443,,,,,,,
sensor-D,1773218236600,91.436,,,,,,,
sensor-D,1773218236600,99.662,,,,,,,
sensor-D,1773218236600,86.934,,,,,,,
sensor-C,1773218252753,69.289,,,,,,,
sensor-D,1773218222228,-37.642,,,,,,,
sensor-D,1773218222228,97.391,,,,,,,
sensor-D,1773218254604,-45.025,,,,,,,
sensor-D,1773218254604,93.704,,,,,,,
sensor-D,1773218251316,-33.188,,,,,,,
sensor-D,1773218251316,69.793,,,,,,,
sensor-D,1773218251316,41.161,,,,,,,
sensor-D,1773218251316,37.453,,,,,,,
sensor-A,1773218235212,26.54,,,,,,,
sensor-A,1773218225621,75.94,,,,,,,
sensor-A,1773218225621,39.209,,,,,,,
sensor-A,1773218225621,95.733,,,,,,,
sensor-D,1773218236465,-12.851,,,,,,,
sensor-D,1773218236465,-13.138,,,,,,,
sensor-D,1773218236465,74.364,,,,,,,
sensor-D,1773218236465,65.629,,,,,,,
sensor-D,1773218251872,23.372,,,,,,,
sensor-D,1773218251872,1.614,,,,,,,
sensor-D,1773218251872,60.307,,,,,,,
sensor-D,1773218251872,80.318,,,,,,,
sensor-C,1773218232552,25.667,,,,,,,
sensor-C,1773218232552,-33.564,,,,,,,
sensor-C,1773218232552,-44.685,,,,,,,
sensor-B,1773218226858,-23.207,,,,,,,
sensor-D,1773218226324,-46.162,,,,,,,
sensor-D,1773218226324,-39.358,,,,,,,
sensor-D,1773218226324,37.944,,,,,,,
sensor-B,1773218255786,66.63,,,,,,,
sensor-C,1773218259779,-8.401,,,,,,,
sensor-C,1773218259779,96.057,,,,,,,
sensor-A,1773218262000,-13.044,,,,,,,
sensor-A,1773218262000,33.362,,,,,,,
sensor-B,1773218258281,43.153,,,,,,,
sensor-B,1773218258281,68.275,,,,,,,
sensor-B,1773218258281,12.375,,,,,,,
sensor-B,1773218258281,67.83,,,,,,,
sensor-B,1773218232862,-2.343,,,,,,,
sensor-B,1773218232862,55.557,,,,,,,
sensor-B,1773218232862,-3.756,,,,,,,
sensor-D,1773218250282,93.631,,,,,,,
sensor-D,1773218250282,37.745,,,,,,,
sensor-D,1773218250282,-12.609,,,,,,,
sensor-D,1773218236483,78.548,,,,,,,
sensor-D,1773218236483,41.955,,,,,,,
sensor-D,1773218236483,-47.046,,,,,,,
sensor-C,1773218245188,3.324,,,,,,,
sensor-D,1773218239614,-39.322,,,,,,,
sensor-D,1773218239614,88.123,,,,,,,
sensor-D,1773218239614,10.412,,,,,,,
sensor-D,1773218239614,92.21,,,,,,,
sensor-A,1773218253467,-8.633,,,,,,,
sensor-A,1773218253467,72.822,,,,,,,
sensor-A,1773218253467,-15.712,,,,,,,
sensor-B,1773218213744,84.975,,,,,,,
sensor-B,1773218213744,17.057,,,,,,,
sensor-A,1773218262359,-10.747,,,,,,,
sensor-A,1773218215133,-28.602,,,,,,,
sensor-A,1773218215133,81.328,,,,,,,
sensor-A,1773218215133,18.979,,,,,,,
sensor-A,1773218215133,30.828,,,,,,,
sensor-D,1773218223209,47.631,,,,,,,
sensor-D,1773218223209,44.696,,,,,,,
sensor-D,1773218223209,-30.263,,,,,,,
sensor-D,1773218223209,-47.672,,,,,,,
sensor-D,1773218227974,-23.017,,,,,,,
sensor-D,1773218227974,59.624,,,,,,,
sensor-A,1773218217668,-48.825,,,,,,,
sensor-A,1773218217668,74.223,,,,,,,
sensor-D,1773218262485,40.366,,,,,,,
sensor-D,1773218261522,-18.903,,,,,,,
sensor-A,1773218255619,-10.64,,,,,,,
sensor-A,1773218255619,81.97,,,,,,,
sensor-A,1773218255619,23.179,,,,,,,
sensor-A,1773218255619,13.038,,,,,,,
sensor-A,1773218235406,97.24,,,,,,,
sensor-A,1773218236825,-0.31,,,,,,,
sensor-A,1773218236825,61.655,,,,,,,
sensor-A,1773218236825,82.546,,,,,,,
sensor-D,1773218233955,-8.097,,,,,,,
sensor-D,1773218233955,97.81,,,,,,,
sensor-D,1773218233955,-18.285,,,,,,,
sensor-B,1773218220357,51.963,,,,,,,
sensor-B,1773218220357,-49.18,,,,,,,
sensor-B,1773218220357,87.622,,,,,,,
sensor-B,1773218220357,67.131,,,,,,,
sensor-A,1773218260207,90.444,,,,,,,
sensor-A,1773218260207,-46.17,,,,,,,
sensor-A,1773218257452,-36.386,,,,,,,
sensor-A,1773218257452,93.742,,,,,,,
sensor-B,1773218259760,56.152,,,,,,,
sensor-B,1773218259760,10.302,,,,,,,
sensor-A,1773218242961,-2.238,,,,,,,
sensor-A,1773218242961,93.381,,,,,,,
sensor-A,1773218242961,-19.706,,,,,,,
sensor-B,1773218258858,21.92,,,,,,,
sensor-A,1773218259092,-41.205,,,,,,,
sensor-A,1773218256365,-5.34,,,,,,,
sensor-A,1773218256365,-42.504,,,,,,,
sensor-C,1773218238223,24.262,,,,,,,
sensor-C,1773218238223,-28.009,,,,,,,
sensor-C,1773218238223,86.293,,,,,,,
sensor-D,1773218231363,-9.935,,,,,,,
sensor-D,1773218231363,46.7,,,,,,,
sensor-C,1773218237032,83.679,,,,,,,
sensor-C,1773218237032,-9.922,,,,,,,
sensor-C,1773218237032,28.865,,,,,,,
sensor-C,1773218237032,18.527,,,,,,,
sensor-D,1773218257864,3.564,,,,,,,
sensor-D,1773218257864,-19.017,,,,,,,
sensor-C,1773218234136,73.611,,,,,,,
sensor-B,1773218258052,2.371,,,,,,,
sensor-B,1773218258052,-45.893,,,,,,,
sensor-B,1773218258052,-2.278,,,,,,,
sensor-B,1773218258052,-10.526,,,,,,,
sensor-A,1773218234906,-3.748,,,,,,,
sensor-A,1773218234906,45.974,,,,,,,
sensor-D,1773218242554,32.404,,,,,,,
sensor-D,1773218242554,-43.019,,,,,,,
sensor-D,1773218242554,-45.569,,,,,,,
sensor-A,1773218252448,87.544,,,,,,,
sensor-A,1773218252448,34.626,,,,,,,
sensor-A,1773218234196,76.17,,,,,,,
sensor-A,1773218234196,-2.78,,,,,,,
sensor-A,1773218239823,77.559,,,,,,,
sensor-B,1773218232046,85.636,,,,,,,
sensor-C,1773218235698,-27.714,,,,,,,
sensor-C,1773218235698,-30.419,,,,,,,
sensor-A,1773218214219,-7.042,,,,,,,
sensor-A,1773218214219,-44.977,,,,,,,
sensor-A,1773218214219,66.911,,,,,,,
sensor-B,1773218213203,-18.386,,,,,,,
sensor-B,1773218213203,-4.515,,,,,,,
sensor-C,1773218235760,87.696,,,,,,,
sensor-A,1773218242264,-16.107,,,,,,,
sensor-A,1773218242264,81.8,,,,,,,
sensor-A,1773218242264,-20.779,,,,,,,
sensor-C,1773218241194,95.471,,,,,,,
sensor-C,1773218241194,-36.611,,,,,,,
sensor-C,1773218241194,77.206,,,,,,,
sensor-B,1773218233028,15.903,,,,,,,
sensor-B,1773218233028,40.39,,,,,,,
sensor-B,1773218233028,-13.251,,,,,,,
sensor-C,1773218224814,36.87,,,,,,,
sensor-C,1773218224814,1.72,,,,,,,
sensor-A,1773218232875,94.48,,,,,,,
sensor-A,1773218232875,78.552,,,,,,,
sensor-B,1773218241495,56.557,,,,,,,
sensor-D,1773218235460,87.44,,,,,,,
sensor-D,1773218235460,77.063,,,,,,,
sensor-D,1773218256636,63.367,,,,,,,
sensor-D,1773218256636,-24.343,,,,,,,
sensor-D,1773218256636,7.854,,,,,,,
sensor-B,1773218239845,85.923,,,,,,,
sensor-B,1773218239845,42.175,,,,,,,
sensor-B,1773218239845,87.306,,,,,,,
sensor-B,1773218239845,20.675,,,,,,,
sensor-C,1773218255803,77.739,,,,,,,
sensor-C,1773218255803,96.18,,,,,,,
sensor-C,1773218255803,-11.793,,,,,,,
sensor-C,1773218255803,42.299,,,,,,,
sensor-C,1773218223904,29.539,,,,,,,
sensor-C,1773218222549,-26.809,,,,,,,
sensor-C,1773218222549,29.554,,,,,,,
sensor-B,1773218226969,-41.97,,,,,,,
sensor-B,1773218226969,25.692,,,,,,,
sensor-B,1773218253119,84.145,,,,,,,
sensor-B,1773218253119,83.84,,,,,,,
sensor-B,1773218253119,-39.701,,,,,,,
sensor-B,1773218253119,95.051,,,,,,,
sensor-D,1773218258578,-46.94,,,,,,,
sensor-D,1773218258578,62.322,,,,,,,
sensor-D,1773218258578,-7.016,,,,,,,
sensor-A,1773218241074,69.701,,,,,,,
sensor-A,1773218241074,-24.486,,,,,,,
sensor-A,1773218241074,41.161,,,,,,,
sensor-A,1773218241074,47.458,,,,,,,
sensor-C,1773218223285,19.778,,,,,,,
sensor-C,1773218247602,91.249,,,,,,,
sensor-C,1773218247602,77.14,,,,,,,
sensor-B,1773218216063,31.586,,,,,,,
sensor-B,1773218216063,69.994,,,,,,,
sensor-B,1773218216063,-31.449,,,,,,,
sensor-B,1773218216063,47.897,,,,,,,
sensor-B,1773218249325,58.232,,,,,,,
sensor-B,1773218249325,-16.352,,,,,,,
sensor-A,1773218221338,-26.061,,,,,,,
